source_database,pmid,title,abstract,journal,year,publication_types,authors,doi,mesh_terms,url,source_databases_found,openalex_id,concepts,type,dedupe_key
PubMed,35249171,"Coverage Effects of the ACA's Medicaid Expansion on Adult Reproductive-Aged Women, Postpartum Mothers, and Mothers with Older Children.","We estimate the effect of the Affordable Care Act's (ACA) Medicaid expansions on Medicaid coverage of reproductive-aged women at varying childbearing stages.; Using data from the American Community Survey (ACS) (n = 1,977,098) and a difference-in-differences approach, we compare Medicaid coverage among low-income adult women without children, postpartum mothers, and mothers of children older than one year in expansion states to non-expansion states, before and after the expansions.; The ACA's Medicaid expansion increased Medicaid coverage among adult women with incomes between 101 and 200% of the federal poverty line (FPL) without children by 10.7 percentage points (54 percent, p < 0.01). Coverage of mothers with children older than one year increased by 9.5 percentage points (34 percent, p < 0.01). Coverage of mothers with infants rose by 7.9 percentage points (21 percent, p < 0.01).; Within the population of adult reproductive-aged women, we find a ""fanning out"" of effects from the ACA's Medicaid expansions. Childless women experience the largest gains in coverage while mothers of infants experience the smallest gains; mothers of children greater than one year old fall in the middle. These results are consistent with ACA gains being the smallest among the groups least targeted by the ACA, but also show substantial gains (one fifth) even among postpartum mothers.",Maternal and child health journal,2022,Journal Article,Lindsey Rose Bullinger; Kosali Simon; Brownsyne Tucker Edmonds,10.1007/s10995-022-03384-8,"Adolescent; Adult; Child; Child, Preschool; Female; Health Services Accessibility; Humans; Infant; Insurance Coverage; Insurance, Health; Medicaid; Mothers; Patient Protection and Affordable Care Act; Postpartum Period; United States",https://pubmed.ncbi.nlm.nih.gov/35249171/,,,,,doi:10 1007 s10995 022 03384 8
PubMed,35302626,Comparison of Postpartum Health Care Use and Spending Among Individuals with Medicaid-Paid Births Enrolled in Continuous Medicaid vs Commercial Insurance.,"Postpartum Medicaid eligibility extensions are likely to shift enrollees from commercial to Medicaid coverage in the postpartum year; however, the potential implications for health care use and spending are unknown.; To compare health care use and spending among individuals with a Medicaid-paid birth who had continuous Medicaid vs continuous commercial insurance during months 3 to 12 post partum.; Cross-sectional study using linked all-payer claims, birth records, and income data for Medicaid-paid births in the Colorado All Payer Claims Database from 2014 to 2019 to estimate the association between continuous Medicaid vs commercial insurance and health care use and spending during months 3 to 12 post partum.; Continuous enrollment in Medicaid vs commercial insurance during months 3 to 12 post partum.; Primary outcomes were the rate and number of primary care and outpatient visits, and total out-of-pocket spending during months 3 to 12 post partum. Secondary outcomes were the rate and number of emergency department visits and hospitalizations during months 3 to 12 post partum.; The 44 471 individuals in the sample had a mean (SD) age of 26.8 (5.50) years. Self-reported race and ethnicity included 1279 (2.9%) Asian individuals, 4028 (9.1%) Black individuals, 33 534 (75.4%) White individuals, as well as 5630 (12.7%) individuals of other race and ethnicity (American Indian or Alaskan Native; Other Pacific Islander; and unspecified). Of these, 19 337 (43.5%) self-identified as Hispanic individuals. The sample included 42 989 individuals continuously enrolled in Medicaid and 1482 individuals continuously enrolled in commercial insurance during months 3 to 12 post partum. Compared with those continuously enrolled in Medicaid, commercially insured enrollees were older (32.2% of commercial enrollees were between the ages of 30-39 vs 27.5% of Medicaid enrollees, P < .001), less likely to be Hispanic (38.9% in commercial vs 43.7% in Medicaid, P < .001) or born in the US (15.6% in commercial vs 19.6% in Medicaid, P < .001), and more likely to be married (62.8% in commercial vs 54.8% in Medicaid, P < .001), have completed college (32.9% in commercial vs 16.5% in Medicaid, P < .001), and initiated early prenatal care (79.7% in commercial vs 72.5% in Medicaid, P < .001). In multivariable models, individuals with commercial insurance were 2.46 percentage points (95% CI, 2.12-2.79 percentage points; P < .001) more likely to attend a primary care visit and had 0.81 (95% CI, 0.70-0.92; P < .001) additional primary care visits total during months 3 to 12 post partum. Individuals enrolled in commercial insurance were 7.92 percentage points (95% CI, -8.44 to -7.40 percentage points; P = .006) less likely to visit an emergency department compared with those enrolled in Medicaid. Total adjusted per person spending was $1110 (95% CI, $509-$1710; P < .001) higher, and total out-of-pocket spending per person was $796 (95% CI, $754-$838; P < .001) higher for those enrolled in commercial insurance vs Medicaid.; In this study, primary care use was higher and emergency department use was lower among those continuously enrolled in commercial vs Medicaid insurance during months 3 to 12 post partum. Medicaid rather than commercial insurance was associated with decreased exposure to out-of-pocket costs during months 3 to 12 postpartum for individuals with low income.",JAMA network open,2022,"Journal Article; Research Support, Non-U.S. Gov't",Sarah H Gordon; Alex Hoagland; Lindsay K Admon; Jamie R Daw,10.1001/jamanetworkopen.2022.3058,Adult; Cross-Sectional Studies; Female; Health Expenditures; Humans; Insurance Coverage; Medicaid; Postpartum Period; Pregnancy; United States,https://pubmed.ncbi.nlm.nih.gov/35302626/,,,,,doi:10 1001 jamanetworkopen 2022 3058
PubMed,33317895,Factors Associated With Postpartum Diabetes Screening in Women With Gestational Diabetes and Medicaid During Pregnancy.,"Women with gestational diabetes are 7 times more likely to develop type 2 diabetes and require lifelong diabetes screening. Loss of health coverage after pregnancy, as occurs in states that did not expand Medicaid, limits access to guideline-driven follow-up care and fosters health inequity. This study aims to understand the factors associated with the receipt of postpartum diabetes screening for women with gestational diabetes in a state without Medicaid expansion.; Electronic health record and Medicaid claims data were linked to generate a retrospective cohort of 1,078 women with gestational diabetes receiving care in Federally Qualified Health Centers in Missouri from 2010 to 2015. In 2019-2020, data were analyzed to determine the factors associated with the receipt of recommended postpartum diabetes screening (fasting plasma glucose, 2-hour oral glucose tolerance test, or HbA1c in specified timeframes) using a Cox proportional hazards model through 18 months of follow-up.; Median age in this predominantly urban population was 28 (IQR=24-33) years. Self-reported racial or ethnic minorities comprised more than half of the population. Only 9.7% of women were screened at 12 weeks, and 20.8% were screened at 18 months. Prenatal certified diabetes education (adjusted hazard ratio=1.74, 95% CI=1.22, 2.49) and access to public transportation (adjusted hazard ratio=1.70, 95% CI=1.13, 2.54) were associated with increased screening in a model adjusted for race/ethnicity, the total number of prenatal visits, the use of diabetes medication during pregnancy, and a pregnancy-specific comorbidity index that incorporated age.; This study underscores the importance of access to public transportation, prenatal diabetes education, and continued healthcare coverage for women on Medicaid to support the receipt of guideline-recommended follow-up care and improve health equity.",American journal of preventive medicine,2021,"Journal Article; Research Support, N.I.H., Extramural",Cynthia J Herrick; Matthew R Keller; Anne M Trolard; Ben P Cooper; Margaret A Olsen; Graham A Colditz,10.1016/j.amepre.2020.08.028,"Adult; Diabetes Mellitus, Type 2; Diabetes, Gestational; Female; Humans; Medicaid; Missouri; Postpartum Period; Pregnancy; Retrospective Studies; United States; Young Adult",https://pubmed.ncbi.nlm.nih.gov/33317895/,,,,,doi:10 1016 j amepre 2020 08 028
PubMed,34670222,"The Effect of the Affordable Care Act on Women's Postpartum Insurance and Depression in 5 States That Did Not Expand Medicaid, 2012-2015.","Before the Affordable Care Act (ACA), most women who gained pregnancy-related Medicaid were not eligible for Medicaid as parents postpartum. The ACA aimed to expand health insurance coverage, in part, by expanding Medicaid; introducing mandates; reforming regulations; and establishing exchanges with federal subsidies. Federal subsidies offer a means to coverage for individuals with income at 100%-400% of the federal poverty level who do not qualify for Medicaid.; The objective of this study was to identify the effects of the ACA's non-Medicaid provisions on women's postpartum insurance coverage and depressive symptoms in nonexpansion states with low parental Medicaid thresholds.; Women with incomes at 100%-400% of the federal poverty level who had prenatal insurance and completed the Pregnancy Risk Assessment Monitoring System (2012-2015).; Five non-Medicaid expansion states with Medicaid parental eligibility thresholds below the federal poverty level.; Interrupted time-series analyses were conducted to examine changes between pre-ACA (January 2012-November 2013) and post-ACA (December 2013-December 2015) trends for self-reported loss of postpartum insurance and symptoms of postpartum depression.; The sample included 9,472 women. Results showed significant post-ACA improvements where the: (1) trend for loss of postpartum insurance reversed (change of -0.26 percentage points per month, P=0.047) and (2) level of postpartum depressive symptoms decreased (change of -3.5 percentage points, P=0.042).; In these 5 states, the ACA's non-Medicaid provisions were associated with large increases in retention of postpartum insurance and reductions in postpartum depressive symptoms, although depressive symptoms findings are sensitive to model specification.",Medical care,2022,Journal Article,Anne L R Schuster; Marcelo C Perraillon; Jennifer J Paul; Jenn A Leiferman; Catherine Battaglia; Elaine H Morrato,10.1097/MLR.0000000000001652,"Adult; Depression, Postpartum; Female; Health Services Accessibility; Humans; Insurance Coverage; Medicaid; Middle Aged; Patient Protection and Affordable Care Act; Pregnancy; State Government; United States",https://pubmed.ncbi.nlm.nih.gov/34670222/,,,,,doi:10 1097 mlr 0000000000001652
PubMed,39053007,Immediate Postpartum Long-Acting Reversible Contraception for Preventing Severe Maternal Morbidity: A Cost-Effectiveness Analysis.,"To estimate the cost effectiveness of Medicaid covering immediate postpartum long-acting reversible contraception (LARC) as a strategy to reduce future short interpregnancy interval (IPI), severe maternal morbidity (SMM), and preterm birth.; We built a decision analytic model using TreeAge software to compare maternal health and cost outcomes in two settings, one in which immediate postpartum LARC is a covered option and the other where it is not, among a theoretical cohort of 100,000 people with Medicaid insurance who were immediately postpartum and did not have permanent contraception. The primary outcome was the incremental cost-effectiveness ratio (ICER), which represents the incremental cost increase per an incremental quality-adjusted life-years (QALY) gained from one health intervention compared with another. Secondary outcomes included subsequent short IPI , defined as time between last delivery and conception of less than 18 months, as well as SMM, preterm birth, overall costs, and QALYs. We performed sensitivity analyses on all costs, probabilities, and utilities.; Use of immediate postpartum LARC was the cost-effective strategy, with an ICER of -11,880,220,102. Use of immediate postpartum LARC resulted in 299 fewer repeat births overall, 178 fewer births with short IPI, two fewer cases of SMM, and 34 fewer preterm births. Coverage of immediate postpartum LARC resulted in 25 additional QALYs and saved $2,968,796.; Coverage of immediate postpartum LARC at the time of index delivery can improve quality of life and reduce health care costs for Medicaid programs. Expanding coverage to include immediate postpartum LARC can help to achieve optimal IPI and decrease SMM and preterm birth.",Obstetrics and gynecology,2024,Journal Article,Kimberley A Bullard; Shaalini Ramanadhan; Aaron B Caughey; Maria I Rodriguez,10.1097/AOG.0000000000005679,Adult; Female; Humans; Pregnancy; Birth Intervals; Cost-Effectiveness Analysis; Long-Acting Reversible Contraception; Medicaid; Postpartum Period; Premature Birth; Quality-Adjusted Life Years; United States,https://pubmed.ncbi.nlm.nih.gov/39053007/,,,,,doi:10 1097 aog 0000000000005679
PubMed,32897793,Medicaid Expansion Improved Perinatal Insurance Continuity For Low-Income Women.,"Insurance churn, or moving between different insurance plans or between insurance and uninsurance, is common during the perinatal period. We used survey data from the 2012-17 Pregnancy Risk Assessment Monitoring System to estimate the impact of Affordable Care Act-related state Medicaid expansions on continuity of insurance coverage for low-income women across three time points: preconception, delivery, and postpartum. We found that Medicaid expansion resulted in a 10.1-percentage-point decrease in churning between insurance and uninsurance, representing a 28 percent decrease from the prepolicy baseline in expansion states. This decrease was driven by a 5.8-percentage-point increase in the proportion of women who were continuously insured and a 4.2-percentage-point increase in churning between Medicaid and private insurance. Medicaid expansion improved insurance continuity in the perinatal period for low-income women, which may improve the quality of perinatal health care, but it also increased churning between public and private health insurance.",Health affairs (Project Hope),2020,"Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.",Jamie R Daw; Tyler N A Winkelman; Vanessa K Dalton; Katy B Kozhimannil; Lindsay K Admon,10.1377/hlthaff.2019.01835,"Female; Health Services Accessibility; Humans; Insurance Coverage; Insurance, Health; Medicaid; Medically Uninsured; Patient Protection and Affordable Care Act; Poverty; Pregnancy; United States",https://pubmed.ncbi.nlm.nih.gov/32897793/,,,,,doi:10 1377 hlthaff 2019 01835
PubMed,34338791,Association of Expanded Prenatal Care Coverage for Immigrant Women With Postpartum Contraception and Short Interpregnancy Interval Births.,"Access to prenatal and postpartum care is restricted among women with low income who are recent or undocumented immigrants enrolled in Emergency Medicaid.; To examine the association of extending prenatal care coverage to Emergency Medicaid enrollees with postpartum contraception and short interpregnancy interval births.; This cohort study used a difference-in-differences design to compare the staggered rollout of prenatal care in Oregon with South Carolina, a state that does not cover prenatal or postpartum care. Linked Medicaid claims and birth certificate data from 2010 to 2016 were examined for an association between prenatal care coverage for women whose births were covered by Emergency Medicaid and subsequent short IPI births. Additional maternal and infant health outcomes were also examined, including postpartum contraceptive use, preterm birth, and neonatal intensive care unit admission. The association between the policy change and measures of policy implementation (number of prenatal visits) and quality of care (receipt of 8 guideline-based screenings) was also analyzed. Statistical analysis was performed from August 2020 to March 2021.; Medicaid coverage of prenatal care.; Postpartum contraceptive use, defined as receipt of any contraceptive method within 60 days of delivery; short IPI births, defined as occurring within 18 months of a previous pregnancy.; The study population consisted of 26 586 births to women enrolled in Emergency Medicaid in Oregon and South Carolina. Among these women, 14 749 (55.5%) were aged 25 to 35 years, 25 894 (97.4%) were Black, Hispanic, Native American, Alaskan, Pacific Islander, or Asian women or women with unknown race/ethnicity, and 17 905 (67.3%) lived in areas with urban zip codes. Coverage of prenatal care for women in Emergency Medicaid was associated with significant increases in mean (SD) prenatal visits (increase of 10.3 [0.9] prenatal visits) and prenatal quality. Prenatal care screenings (eg, anemia screening: increase of 65.7 percentage points [95% CI, 54.2 to 77.1 percentage points]) and vaccinations (eg, influenza vaccination: increase of 31.9 percentage points [95% CI, 27.4 to 36.3 percentage points]) increased significantly following the policy change. Although postpartum contraceptive use increased following prenatal care expansion (increase of 1.5 percentage points [95% CI, 0.4 to 2.6 percentage points]), the policy change was not associated with a reduction in short IPI births (-4.5 percentage points [95% CI, -9.5 to 0.5 percentage points), preterm births (-0.6 percentage points [95% CI, -3.2 to 2.0 percentage points]), or neonatal intensive care unit admissions (increase of 0.8 percentage points [95% CI, -2.0 to 3.6 percentage points]).; This study found that expanding Emergency Medicaid benefits to include prenatal care significantly improved receipt of guideline-concordant prenatal care. Prenatal care coverage alone was not associated with a meaningful increase in postpartum contraception or a reduction in subsequent short IPI births.",JAMA network open,2021,"Journal Article; Research Support, N.I.H., Extramural",Maria I Rodriguez; Menolly Kaufman; Stephan Lindner; Aaron B Caughey; Ana Lopez DeFede; K John McConnell,10.1001/jamanetworkopen.2021.18912,Adult; Birth Intervals; Contraception Behavior; Emigrants and Immigrants; Family Planning Services; Female; Health Services Accessibility; Hispanic or Latino; Humans; Insurance Coverage; Medicaid; Patient Acceptance of Health Care; Postpartum Period; Poverty; Pregnancy; Prenatal Care; Time Factors; Undocumented Immigrants; United States,https://pubmed.ncbi.nlm.nih.gov/34338791/,,,,,doi:10 1001 jamanetworkopen 2021 18912
PubMed,39147363,Impact of 12-month Medicaid extension on postpartum contraception use in South Carolina.,,American journal of obstetrics & gynecology MFM,2024,Letter,Megan Fuerst; Mennolly Kaufman; Ann Martinez Acevedo; Ana Lopez-Defede; Kelsey Holt; Maria Rodriguez,10.1016/j.ajogmf.2024.101467,,https://pubmed.ncbi.nlm.nih.gov/39147363/,,,,,doi:10 1016 j ajogmf 2024 101467
PubMed,32958368,Postpartum Medicaid Coverage and Contraceptive Use Before and After Ohio's Medicaid Expansion Under the Affordable Care Act.,"Ensuring that women with Medicaid-covered births retain coverage beyond 60 days postpartum can help women to receive care that will improve their health outcomes. Little is known about the extent to which the Affordable Care Act (ACA) Medicaid expansion has allowed for longer postpartum coverage as more women entering Medicaid under a pregnancy eligibility category could now become income eligible. This study investigates whether Ohio's Medicaid expansion increased continuous enrollment and use of covered services postpartum, including postpartum visit attendance, receipt of contraceptive counseling, and use of contraceptive methods.; We used Ohio's linked Medicaid claims and vital records data to derive a study cohort whose prepregnancy and 6-month postpartum period occurred fully in either before (January 2011 to June 2013) or after (November 2014 to December 2015) the ACA Medicaid expansion implementation period (N = 170,787 after exclusions). We categorized women in this cohort according to whether they were pregnancy eligible (the treatment group) or income eligible (the comparison group) as they entered Medicaid and used multivariate logistic regression to test for differences in the association of the ACA expansion with their postpartum enrollment in Medicaid and use of services.; Women who entered Ohio Medicaid in the pregnancy eligible category had a 7.7 percentage point increase in the probability of remaining continuously enrolled 6 months postpartum relative to those entering as income eligible. Income eligible women had approximately a 5.0 percentage point increased likelihood of both a postpartum visit and use of long-acting reversible contraceptives. Pregnancy-eligible women had a significant but smaller (approximately 2 percentage point) increase in the likelihood of long-acting reversible contraceptive use.; Ohio's ACA Medicaid expansion was associated with a significant increase in the probability of women's continuous enrollment in Medicaid and use of long-acting reversible contraceptives through 6 months postpartum. Together, these changes translate into decreased risks of unintended pregnancy and short interpregnancy intervals.",Women's health issues : official publication of the Jacobs Institute of Women's Health,2020,Journal Article,Anne L Dunlop; Peter Joski; Andrea E Strahan; Erica Sierra; E Kathleen Adams,10.1016/j.whi.2020.08.006,Contraceptive Agents; Female; Health Services Accessibility; Humans; Insurance Coverage; Medicaid; Ohio; Patient Protection and Affordable Care Act; Postpartum Period; Pregnancy; United States,https://pubmed.ncbi.nlm.nih.gov/32958368/,,,,,doi:10 1016 j whi 2020 08 006
PubMed,36322086,Transitions in Health Insurance During the Perinatal Period Among Patients With Continuous Insurance Coverage.,"Although health insurance continuity is important during the perinatal period to improve birth outcomes and reduce maternal morbidity and mortality, insurance disruptions are common. However, little is known about insurance transitions among insurance types for individuals who remained insured during the perinatal period.; To examine insurance transitions for birthing individuals with continuous insurance, including those with Medicaid and Medicaid managed care coverage, before, during, and after pregnancy.; This cohort study used January 1, 2014 to December 31, 2018 data from the Massachusetts All-Payer Claims Database. The sample included deliveries from January 1, 2015, to December 31, 2017, to birthing individuals aged 18 to 44 years old with continuous insurance for 12 months before and after delivery. Data were analyzed from November 9, 2021, to September 2, 2022.; Insurance type at delivery.; The primary outcome was a binary indicator of any transition in insurance type from 12 months before and/or after delivery. The secondary outcomes were measures of any predelivery transition (12 months before delivery month) and any transition during the postpartum period (delivery month to 12 months post partum). Multivariate logit regression models were used to analyze the association of an insurance transition in the perinatal period with insurance type in the delivery month, controlling for age and socioeconomic status based on a 5-digit zip code.; The analytic sample included 97 335 deliveries (mean [SD] maternal age at delivery, 30.4 [5.5] years). Of these deliveries, 23.4% (22 794) were insured by Medicaid and 28.1% (27 347) by Medicaid managed care in the delivery month. A total of 37.1% of the sample (36 127) had at least 1 insurance transition during the 12 months before and/or after delivery. In regression-adjusted analyses, those individuals covered by Medicaid and Medicaid managed care at delivery were 47.0 (95% CI, 46.3-47.7) percentage points and 50.1 (95% CI, 49.4-50.8) percentage points, respectively, more likely to have an insurance transition than those covered by private insurance. Those covered by Marketplace plans at delivery had a 33.1% (95% CI, 31.4%-34.8%) regression-adjusted predicted probability of having a postpartum insurance transition.; Results of this study showed that insurance transitions during the perinatal period occurred for more than 1 in 3 birthing individuals with continuous insurance and were more common among those with Medicaid or Medicaid managed care at delivery. Further research is needed to examine the role of insurance transitions in health care use and outcomes during the perinatal period.",JAMA network open,2022,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",Chanup Jeung; Laura B Attanasio; Kimberley H Geissler,10.1001/jamanetworkopen.2022.39803,"Pregnancy; Female; United States; Humans; Adolescent; Young Adult; Adult; Child, Preschool; Cohort Studies; Insurance, Health; Insurance Coverage; Medicaid; Postpartum Period",https://pubmed.ncbi.nlm.nih.gov/36322086/,,,,,doi:10 1001 jamanetworkopen 2022 39803
PubMed,36274968,Disparities in postpartum contraceptive use among immigrant women with restricted Medicaid benefits.,"The Emergency Medicaid program offers restricted Medicaid benefits for people who meet the same financial eligibility criteria as Traditional Medicaid recipients but do not meet the citizenship requirements for enrollment in Traditional Medicaid. By federal law, Emergency Medicaid covers care for life-threatening emergencies or a hospital admission for childbirth. No prenatal or postpartum care is covered. Most of the women enrolled in Emergency Medicaid are Latina.; We assessed postpartum visits and receipt of postpartum contraception and compared the outcomes for Emergency (restricted benefit) Medicaid recipients with those of Traditional (full-benefit) Medicaid recipients in Oregon and South Carolina, 2 states with similar-sized immigrant populations.; We conducted a retrospective cohort study using linked Medicaid claims and birth certificate data of live births covered by Medicaid (Traditional and Emergency) between January 1, 2010 and September 30, 2017, in Oregon and South Carolina. Our analysis was at the individual level. Primary outcomes were postpartum visit attendance and receipt of postpartum contraception within 2 months. We examined differences in demographic and delivery characteristics by Medicaid type. If women received postpartum contraception, we compared the timing of receipt (immediate postpartum, ≤1 month, 1-2 months, and 2-6 months after delivery) by the type of Medicaid. Among women using contraception, we described the type of contraceptive received at each time point, stratified by Medicaid type. Associations between Medicaid type (Traditional vs Emergency) and postpartum visit attendance and contraception use were assessed using adjusted absolute predicted probabilities from logistic regression models. We ran models for the entire cohort and conducted a subanalysis restricted to only Latina women.; Our study included 375,544 live births to 288,234 women, with 12.7% of births among Emergency Medicaid recipients. Women enrolled in Emergency Medicaid tended to be older (age >35 years; 18.1% vs 7.2%; P<.001) and were more likely to be multiparous (76.8% vs 60.8%; P<.001) and Latina (80.3% vs 9.5%; P<.001) than their Traditional Medicaid peers. Among women enrolled in Emergency Medicaid, the probability of having a postpartum visit was 6.1% (95% confidence interval, 5.9-6.4) compared with 58.8% (95% confidence interval, 58.6-58.9) for women covered by Traditional Medicaid. After 6 months following delivery, 97.6% of Emergency Medicaid recipients had no evidence of contraceptive use compared with 55.6% of Traditional Medicaid enrollees (P<.001). In our adjusted model, Emergency Medicaid recipients were also significantly less likely to receive postpartum contraception than Traditional Medicaid enrollees (1.9% vs 35.5%; 95% confidence interval, [1.8-2.1] vs [35.4-35.7]). We examined the role that race may play in postpartum contraceptive use by conducting a subanalysis restricted to Latina women only.Latinas with births covered by Emergency Medicaid had a 1.9% (95% confidence interval, 1.8-2.0) adjusted probability of postpartum contraception use within 2 months compared with 39.8% (95% confidence interval, 38.7-39.9) among Latinas enrolled in Traditional Medicaid.; Women enrolled in Emergency Medicaid experience large disparities in postpartum care and contraceptive use. Policies that restrict Medicaid coverage following delivery exacerbate inequities in postpartum care, potentially leading to worse health outcomes for low-income immigrants and their children.",AJOG global reports,2022,Journal Article,Maria I Rodriguez; K John McConnell; Megan Skye; Menolly Kaufman; Aaron B Caughey; Ana Lopez-Defede; Blair G Darney,10.1016/j.xagr.2021.100030,,https://pubmed.ncbi.nlm.nih.gov/36274968/,,,,,doi:10 1016 j xagr 2021 100030
PubMed,37284906,Time to pay attention: an underrecognized casualty of the opioid epidemic.,"Maternal mortality and overdose deaths have both been on the rise in the USA, but the relationship between the two is unclear. Recent reports have pointed toward accidental overdoses and suicides as leading causes of maternal mortality. This short communication collected data on psychiatric-related deaths, suicide and drug overdose, from each state's Maternal Mortality Review Committee to better conceptualize the rate at which these deaths are occurring. Data was collected from each state's most recent online MMRC legislative report and met inclusion criteria if the reports included the number of deaths due to suicide and accidental overdoses during each review period, as well if the report encompassed data from 2017. Fourteen reports met inclusion criteria, cumulatively reviewing 1929 maternal deaths. Of these deaths, 603 (31.3%) were due to accidental overdose, while 111 (5.7%) were due to suicide. These findings highlight the need for increased psychiatric care in the pregnant and postpartum period, specifically for substance use disorders. Increasing screening for depression and substance use, decriminalizing substance use during pregnancy, and extending Medicaid coverage to 12 months postpartum on a national level are all interventions that could significantly reduce maternal deaths.",Archives of women's mental health,2023,Journal Article,Wesley R White; Shona L Ray-Griffith; Jessica L Coker,10.1007/s00737-023-01334-z,"Pregnancy; Female; United States; Humans; Suicide; Analgesics, Opioid; Maternal Death; Opioid Epidemic; Substance-Related Disorders; Drug Overdose",https://pubmed.ncbi.nlm.nih.gov/37284906/,,,,,doi:10 1007 s00737 023 01334 z
PubMed,30981843,Implementing best practices for the provision of long-acting reversible contraception: a survey of obstetrician-gynecologists.,"To examine obstetrician-gynecologists' practices regarding provision of long-acting reversible contraceptive (LARC) methods same-day, immediately postpartum, or to women under age 21.; Between August 2016 and March 2017, the American College of Obstetricians and Gynecologists (ACOG) sent 2500 of their members an electronic survey questionnaire regarding the provision of LARC methods. ACOG mailed nonresponders paper surveys.; After exclusions, the final sample was 1280 respondents (52.2% response rate). Although 91% of obstetrician-gynecologists reported providing IUDs, only 29% (95% CI, 26-32%) offered same-day placement. Ninety-two percent (95% CI, 90-94%) offered IUDs to eligible patients under age 21. Nineteen percent (95% CI, 16.1-21.3%) offered immediate postpartum IUD placement and 21% (95% CI, 18-23%) offered immediate postpartum implant placement. Obstetrician-gynecologists practicing in states where Medicaid reimbursed for immediate postpartum LARC devices within the global fee for delivery (versus separate reimbursement) had lower odds of offering them.; While most ob-gyns are offering IUDs to women under age 21, many are still not offering them same-day. A minority of ob-gyns offer either IUDs or implants immediately postpartum, and there are important geographic and practice setting disparities in this practice.; Efforts to align LARC practices with published evidence and improve access to LARC methods for women desiring them will require a multipronged effort including continuing education of physicians, patient education and outreach, as well as advocacy to improve insurance coverage and reimbursement.",Contraception,2019,"Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.",Neko M Castleberry; Lauren Stark; Jay Schulkin; Daniel Grossman,10.1016/j.contraception.2019.03.053,"Adult; Attitude of Health Personnel; Drug Implants; Female; Gynecology; Health Care Surveys; Humans; Intrauterine Devices; Logistic Models; Long-Acting Reversible Contraception; Medicaid; Middle Aged; Obstetrics; Physicians; Postpartum Period; Practice Patterns, Physicians'; United States",https://pubmed.ncbi.nlm.nih.gov/30981843/,,,,,doi:10 1016 j contraception 2019 03 053
PubMed,31978431,An initiative to implement immediate postpartum long-acting reversible contraception in rural New Mexico.,"Over the past decade, many states have developed approaches to reimburse for immediate postpartum long-acting reversible contraception. Despite expanded coverage, few hospitals offer immediate postpartum long-acting reversible contraception.; Immediate postpartum long-acting reversible contraception implementation is complex and requires a committed multidisciplinary team. After New Mexico Medicaid approved reimbursement for this service, the New Mexico Perinatal Collaborative developed and initiated an evidence-based implementation program containing several components. We sought to evaluate timing of the implementation process and facilitators and barriers to immediate postpartum long-acting reversible contraception in several New Mexico rural hospitals. The primary study outcome was time from New Mexico Perinatal Collaborative program component introduction in each hospital to the hospital's completion of the corresponding implementation step. Secondary outcomes included barriers and facilitators to immediate postpartum contraception implementation.; In this mixed-methods study, conducted from April 2017 to May 2018, we completed semistructured questionnaires and interviews with 20 key personnel from 7 New Mexico hospitals that planned to implement immediate postpartum long-acting reversible contraception. The New Mexico Perinatal Collaborative introduced program components to hospitals in a stepped-wedge design. Participants contributed baseline and follow-up data at 4 time periods detailing the steps taken towards program implementation and the timing of step completion at their hospital. Qualitative data were analyzed using directed qualitative content analysis principles based on the Consolidated Framework for Implementation Research.; Investigators conducted 43 interviews during the 14-month study period. Median time to complete steps toward implementation-patient education, clinician training, nursing education, charge capture, available supplies, and protocols or guidelines-ranged from 7 days for clinician training to 357 days to develop patient education materials. Facilitators of immediate postpartum contraception readiness were local hospital clinical champions and institutional administrative and financial stability. Of the 7 hospitals, 4 completed all Perinatal Collaborative implementation program components and 3 of those piloted immediate postpartum long-acting reversible contraception services. Two publicly funded hospitals currently offer immediate postpartum long-acting reversible contraception without verification of payment for the device or insertion. The third hospital piloted the program with 8 contraceptive devices, did not receive reimbursement due to identified flaws in Medicaid billing guidance and does not currently offer the service. The remaining 3 of the 7 hospitals declined to complete the NMPC program; the hospital that completed the program but did not pilot immediate postpartum long-acting reversible contraception did so because Medicaid billing mechanisms were incompatible with their automated billing systems. Participants consistently reported that lack of reimbursement was the major barrier to immediate postpartum long-acting reversible contraception implementation.; Despite the New Mexico Perinatal Collaborative's robust implementation process and hospital engagement, most hospitals did not offer immediate postpartum long-acting reversible contraception over the study period. Reimbursement obstacles prevented full service implementation. Interventions to improve immediate postpartum long-acting reversible contraception access must begin with implementation of seamless billing and reimbursement mechanisms to ensure adequate hospital payments.",American journal of obstetrics and gynecology,2020,"Journal Article; Research Support, Non-U.S. Gov't",Hannah C Palm; James H Degnan; Sharla D Biefeld; Abigail L Reese; Eve Espey; Lisa G Hofler,10.1016/j.ajog.2020.01.027,"Female; Financial Management, Hospital; Hospitals; Humans; Implementation Science; Insurance, Health, Reimbursement; Long-Acting Reversible Contraception; Medicaid; New Mexico; Postnatal Care; Pregnancy; Rural Population; Time Factors; United States",https://pubmed.ncbi.nlm.nih.gov/31978431/,,,,,doi:10 1016 j ajog 2020 01 027
